constraint_name,relation_name,index_name,field_name,field_position
PK_BANKSTATEMENT,BANKSTATEMENT,PK_BANKSTATEMENT,BS_ID,0
PK_BANKSTATEMENTLINE,BANKSTATEMENTLINE,PK_BANKSTATEMENTLINE,BS_ID,0
PK_BANKSTATEMENTLINE,BANKSTATEMENTLINE,PK_BANKSTATEMENTLINE,BSL_ID,1
PK_BURIALPERMIT,BURIALPERMIT,PK_BURIALPERMIT,BUR_ID,0
PK_BUSINESSPERMIT_1,BUSINESSPERMIT,PK_BUSINESSPERMIT_1,BP_ID,0
PK_BUSINESSPERMITCLEARANCE_1,BUSINESSPERMITCLEARANCE,PK_BUSINESSPERMITCLEARANCE_1,BPC_ID,0
PK_BPERMITCLEARANCEDETAIL_1,BUSINESSPERMITCLEARANCEDETAIL,PK_BPERMITCLEARANCEDETAIL_1,BPCLRDETAIL_ID,0
PK_BUSINESSPERMITDETAIL_1,BUSINESSPERMITDETAIL,PK_BUSINESSPERMITDETAIL_1,BPDETAIL_ID,0
PK_BUSINESSPERMITJOURNAL_1,BUSINESSPERMITJOURNAL,PK_BUSINESSPERMITJOURNAL_1,BPJOURNAL_ID,0
PK_BUSINESSPERMITLESSOR_1,BUSINESSPERMITLESSOR,PK_BUSINESSPERMITLESSOR_1,BPLESSOR_ID,0
PK_BUSINESSPERMITPREVGROSS_1,BUSINESSPERMITPREVGROSS,PK_BUSINESSPERMITPREVGROSS_1,BPPREVGROSS_ID,0
PK_BUSINESSPERMITPROMISSORY_1,BUSINESSPERMITPROMISSORY,PK_BUSINESSPERMITPROMISSORY_1,BPP_ID,0
INTEG_365,BUSINESSPERMITSTATUS,RDB$PRIMARY1,BPS_ID,0
PK_BUSINESSPERMIT_HISTORY_1,BUSINESSPERMIT_HISTORY,PK_BUSINESSPERMIT_HISTORY_1,BP_ID,0
PK_CASHTICKET_1,CASHTICKET,PK_CASHTICKET_1,CT_ID,0
PK_CATTLEOWNERSHIP,CATTLEOWNERSHIP,PK_CATTLEOWNERSHIP,CATOWN_ID,0
PK_CATTLETRANSFER,CATTLETRANSFER,PK_CATTLETRANSFER,CATTRANS_ID,0
PK_COMMUNITYTAXCERTIFICATE_1,COMMUNITYTAXCERTIFICATE,PK_COMMUNITYTAXCERTIFICATE_1,CTC_ID,0
PK_CTCOTHERLGU,CTCOTHERLGU,PK_CTCOTHERLGU,OTHERCTC_ID,0
PK_CTRLETACSEQ_1,CTRLETACSEQ,PK_CTRLETACSEQ_1,SEQNAME,0
PK_CTRLETACSEQ_1,CTRLETACSEQ,PK_CTRLETACSEQ_1,MUNICIPAL_ID,1
INTEG_366,CTRLSYSCONFIG,RDB$PRIMARY2,TAG,0
PK_CUSTOMLAYOUTAF,CUSTOMLAYOUT_AF,PK_CUSTOMLAYOUTAF,CLAF_ID,0
PK_CUSTOMREPORT,CUSTOMREPORT,PK_CUSTOMREPORT,CR_ID,0
PK_DELETE_AUDITTRAIL,DELETE_AUDITTRAIL,PK_DELETE_AUDITTRAIL,DELETE_AUDITTRAIL_ID,0
PK_EEBILL_1,EEBILL,PK_EEBILL_1,EEBILL_ID,0
PK_EECITATION_1,EECITATION,PK_EECITATION_1,CITATION_ID,0
PK_EECITATIONTICKETDETAIL_1,EECITATIONTICKETDETAIL,PK_EECITATIONTICKETDETAIL_1,CITATIONDETAIL_ID,0
PK_EECLEARANCE_1,EECLEARANCE,PK_EECLEARANCE_1,EEC_ID,0
PK_EECONTRACT_1,EECONTRACT,PK_EECONTRACT_1,EECONTRACT_ID,0
PK_EESECTION_ID,EECONTRACTSECTION,PK_EESECTION_ID,EESECTION_ID,0
PK_EEP_ID,EEPROMISSORY,PK_EEP_ID,EEP_ID,0
PK_ENFORCEMENT_1,ENFORCEMENT,PK_ENFORCEMENT_1,NOTICE_ID,0
PK_ESREREPORT_1,ESREREPORT,PK_ESREREPORT_1,SRS_ID,0
PK_MANUALDEBIT_1,MANUALDEBIT,PK_MANUALDEBIT_1,MANUALDEBIT_ID,0
PK_MARRIAGELICENSE,MARRIAGELICENSE,PK_MARRIAGELICENSE,MAR_ID,0
PK_MCHCHARGES_1,MCHCHARGES,PK_MCHCHARGES_1,MCHCHARGE_ID,0
PK_MCHDRIVER_1,MCHDRIVER,PK_MCHDRIVER_1,MCHDRIVER_ID,0
PK_MCHOFFENSE_ID,MCHOFFENSE,PK_MCHOFFENSE_ID,MCHOFFENSE_ID,0
PK_MCHOPERATOR_1,MCHOPERATOR,PK_MCHOPERATOR_1,MCHOP_ID,0
PK_MCHREQUIREMENT_1,MCHREQUIREMENT,PK_MCHREQUIREMENT_1,MCHREQ_ID,0
PK_MESSAGES,MESSAGES,PK_MESSAGES,MSGID,0
PK_PAYMENT_1,PAYMENT,PK_PAYMENT_1,PAYMENT_ID,0
PK_PAYMENTCHEQUE_1,PAYMENTCHEQUE,PK_PAYMENTCHEQUE_1,CHEQUE_ID,0
PK_PAYMENTCLASSDETAIL_1,PAYMENTCLASSDETAIL,PK_PAYMENTCLASSDETAIL_1,PAYCLASSDETAIL_ID,0
PK_PAYMENTDETAIL_1,PAYMENTDETAIL,PK_PAYMENTDETAIL_1,PAYMENTDETAIL_ID,0
PK_PBCATCOL_1,PBCATCOL,PK_PBCATCOL_1,PBC_TNAM,0
PK_PBCATEDT_1,PBCATEDT,PK_PBCATEDT_1,PBE_NAME,0
PK_PBCATFMT_1,PBCATFMT,PK_PBCATFMT_1,PBF_NAME,0
PK_PBCATTBL_1,PBCATTBL,PK_PBCATTBL_1,PBT_TNAM,0
PK_PBCATVLD_1,PBCATVLD,PK_PBCATVLD_1,PBV_NAME,0
PK_POSTINGJOURNAL_1,POSTINGJOURNAL,PK_POSTINGJOURNAL_1,POSTINGJOURNAL_ID,0
PK_PROPERTY_1,PROPERTY,PK_PROPERTY_1,PROP_ID,0
PK_PROPERTYOWNER_1,PROPERTYOWNER,PK_PROPERTYOWNER_1,PROP_ID,0
PK_PROPERTYOWNERDETAIL_1,PROPERTYOWNERDETAIL,PK_PROPERTYOWNERDETAIL_1,PROP_ID,0
PK_PROPERTYOWNERDETAIL_1,PROPERTYOWNERDETAIL,PK_PROPERTYOWNERDETAIL_1,MASTERLOCAL_TIN,1
PK_PROPERTYOWNERDETAIL_1,PROPERTYOWNERDETAIL,PK_PROPERTYOWNERDETAIL_1,DETAILLOCAL_TIN,2
PK_PROPERTYREFERENCE_0,PROPERTYREFERENCE,PK_PROPERTYREFERENCE_0,PROPERTYREF_ID,0
PK_PROPERTYREFERENCE_0,PROPERTYREFERENCE,PK_PROPERTYREFERENCE_0,LANDPROP_ID,1
PK_PROPTRANSDOC_ID,PROPERTYTRANSACTIONDOCUMENT,PK_PROPTRANSDOC_ID,PROPTRANSDOC_ID,0
PK_RCDACCOUNTABLEFORM_1,RCDACCOUNTABLEFORM,PK_RCDACCOUNTABLEFORM_1,AF_ID,0
PK_RCDCASHBREAKDOWN,RCDCASHBREAKDOWN,PK_RCDCASHBREAKDOWN,CASHBREAKDOWN_ID,0
PK_RCDCTRLNUMBER_0,RCDCTRLNUMBER,PK_RCDCTRLNUMBER_0,RCDCTRL_ID,0
PK_RCDDEPOSIT,RCDDEPOSIT,PK_RCDDEPOSIT,DEPOSIT_ID,0
PK_RCDFUNDTYPEBREAKDOWN,RCDFUNDTYPEBREAKDOWN,PK_RCDFUNDTYPEBREAKDOWN,FUNDTYPEBREAKDOWN_ID,0
PK_RCDORBOOKLET_1,RCDORBOOKLET,PK_RCDORBOOKLET_1,ORB_ID,0
PK_RCDDEFECTIVE_ORID,RCDORBOOKLETDEFECTIVE,PK_RCDDEFECTIVE_ORID,DEFECTIVE_ORBID,0
RCDORBOOKLETINVENTORY,RCDORBOOKLETINVENTORY,RCDORBOOKLETINVENTORY,ORINV_ID,0
PK_REMITTANCE,REMITTANCE,PK_REMITTANCE,REMIT_ID,0
PK_RPTASSESSMENT_1,RPTASSESSMENT,PK_RPTASSESSMENT_1,TAXTRANS_ID,0
PK_RPTASSESSMENTDETAIL_1,RPTASSESSMENTDETAIL,PK_RPTASSESSMENTDETAIL_1,TAXDECDETAIL_ID,0
PK_RPTBLDGDEPRECIATION_1,RPTBLDGDEPRECIATION,PK_RPTBLDGDEPRECIATION_1,DEPRECIATION_ID,0
PK_RPTBLDGEXTRA_1,RPTBLDGEXTRA,PK_RPTBLDGEXTRA_1,EXTRA_ID,0
PK_RPTBLDGFLOOR_1,RPTBLDGFLOOR,PK_RPTBLDGFLOOR_1,FLOOR_ID,0
PK_RPTBLDGINFO_1,RPTBLDGINFO,PK_RPTBLDGINFO_1,BLDGINFO_ID,0
PK_RPTBLDGSTRUCTURALMATERIAL,RPTBLDGSTRUCTURALMATERIAL,PK_RPTBLDGSTRUCTURALMATERIAL,STRUCTURALMATERIAL_ID,0
PK_RPTCANCELLED_1,RPTCANCELLED,PK_RPTCANCELLED_1,TAXTRANS_ID,0
PK_RPTCANCELLED_DETAIL_1,RPTCANCELLED_DETAIL,PK_RPTCANCELLED_DETAIL_1,RPTCNCLDDET_ID,0
PK_RPTCOMPROMISE_1,RPTCOMPROMISE,PK_RPTCOMPROMISE_1,RPTC_ID,0
PK_RPTCOMPROMISEDETAIL_1,RPTCOMPROMISEDETAIL,PK_RPTCOMPROMISEDETAIL_1,RPTCDET_ID,0
PK_RPTLANDAPPRAISAL_1,RPTLANDAPPRAISAL,PK_RPTLANDAPPRAISAL_1,LANDAPPRAISAL_ID,0
PK_RPTLIABILITY_1,RPTLIABILITY,PK_RPTLIABILITY_1,PROP_ID,0
PK_RPTMACHAPPRAISAL_1,RPTMACHAPPRAISAL,PK_RPTMACHAPPRAISAL_1,MACHAPPRAISAL_ID,0
PK_RPTPLANTTREEAPP_1,RPTPLANTTREEAPPRAISAL,PK_RPTPLANTTREEAPP_1,PLANTSAPPRAISAL_ID,0
PK_RPTTRANSACTION_1,RPTTRANSACTION,PK_RPTTRANSACTION_1,RPTTRANSACTION_ID,0
PK_RPTVALUEADJUSTMENT,RPTVALUEADJUSTMENT,PK_RPTVALUEADJUSTMENT,VALUEADJUSTMENT_ID,0
PK_SECURITY_APPS_1,SECURITY_APPS,PK_SECURITY_APPS_1,APPLICATION,0
PK_SECURITY_TEMPLATE_1,SECURITY_TEMPLATE,PK_SECURITY_TEMPLATE_1,APPLICATION,0
PK_SECURITY_TEMPLATE_1,SECURITY_TEMPLATE,PK_SECURITY_TEMPLATE_1,WINDOW,1
PK_SECURITY_TEMPLATE_1,SECURITY_TEMPLATE,PK_SECURITY_TEMPLATE_1,CONTROL,2
PK_SECURITY_TEMPLATE_1,SECURITY_TEMPLATE,PK_SECURITY_TEMPLATE_1,OBJECT_TYPE,3
PK_SECURITY_USERS__USERID,SECURITY_USERS,PK_SECURITY_USERS__USERID,NAME,0
PK_SECURITYRCD,SECURITY_USERS_RCD,PK_SECURITYRCD,NAME,0
PK_SUBDIVISION_1,SUBDIVISION,PK_SUBDIVISION_1,SUBDIVISION_ID,0
PK_SYNCRONIZATIONCHECKER_MUN,SYNCRONIZATIONCHECKER_MUN,PK_SYNCRONIZATIONCHECKER_MUN,SYNCCHK_ID,0
PK_SYNCRONIZATIONCHECKER_PROV,SYNCRONIZATIONCHECKER_PROV,PK_SYNCRONIZATIONCHECKER_PROV,SYNCCHK_ID,0
PK_SYNCRONIZATIONLOG,SYNCRONIZATIONLOG,PK_SYNCRONIZATIONLOG,SYNCLOG_ID,0
PK_SYNCRONIZATIONLOG,SYNCRONIZATIONLOG,PK_SYNCRONIZATIONLOG,DATASOURCE,1
PK_TAXCLEARANCE_1,TAXCLEARANCE,PK_TAXCLEARANCE_1,TC_ID,0
PK_TAXPAYER_1,TAXPAYER,PK_TAXPAYER_1,LOCAL_TIN,0
PK_TAXPAYERDETAIL,TAXPAYERDETAIL,PK_TAXPAYERDETAIL,LOCAL_TIN,0
PK_TAXPAYERFAMILY,TAXPAYERFAMILY,PK_TAXPAYERFAMILY,LOCAL_TIN,0
PK_TAXPAYERFAMILY,TAXPAYERFAMILY,PK_TAXPAYERFAMILY,FAMILY_ID,1
PK_TAXPAYERFAMILY,TAXPAYERFAMILY,PK_TAXPAYERFAMILY,FAMILYLOCAL_TIN,2
PK_TAXPAYERMASTERLIST_1,TAXPAYERMASTERLIST,PK_TAXPAYERMASTERLIST_1,PARENT_TIN,0
PK_TAXPAYERMASTERLIST_1,TAXPAYERMASTERLIST,PK_TAXPAYERMASTERLIST_1,LOCAL_TIN,1
PK_TPACCOUNT_1,TPACCOUNT,PK_TPACCOUNT_1,POSTING_ID,0
PK_TPDOCUMENT_1,TPDOCUMENT,PK_TPDOCUMENT_1,TPDOC_ID,0
PK_TRANSACTIONSTATUS_1,TRANSACTIONSTATUS,PK_TRANSACTIONSTATUS_1,TRANSSTAT_ID,0
PK_TRANSACTIONSTATUSDETAIL_1,TRANSACTIONSTATUSDETAIL,PK_TRANSACTIONSTATUSDETAIL_1,TRANSSTATDETAIL_ID,0
PK_TRANSACTIONSTATUSREMARK_1,TRANSACTIONSTATUSREMARK,PK_TRANSACTIONSTATUSREMARK_1,TRANSSTATREMARK_ID,0
PK_TTKGISLAYERSQL_1,TTKGISLAYERSQL,PK_TTKGISLAYERSQL_1,NAME,0
PK_T_ACCOUNTCODE_1,T_ACCOUNTCODE,PK_T_ACCOUNTCODE_1,CODE,0
PK_T_ACTUALUSE_1,T_ACTUALUSE,PK_T_ACTUALUSE_1,CODE,0
PK_T_ADJUSTMENT_1,T_ADJUSTMENT,PK_T_ADJUSTMENT_1,CODE,0
PK_T_ADJUSTMENTFACTOR_1,T_ADJUSTMENTFACTOR,PK_T_ADJUSTMENTFACTOR_1,ADJUSTMENTFACTOR_ID,0
PK_T_ADJUSTMENTTYPE_1,T_ADJUSTMENTTYPE,PK_T_ADJUSTMENTTYPE_1,CODE,0
PK_T_ANNOTATION,T_ANNOTATION,PK_T_ANNOTATION,CODE,0
PK_T_ASSESSMENTLEVEL_1,T_ASSESSMENTLEVEL,PK_T_ASSESSMENTLEVEL_1,ASSESSMENTLEVEL_ID,0
PK_T_BANK_1,T_BANK,PK_T_BANK_1,CODE,0
PK_T_BANK_1,T_BANK,PK_T_BANK_1,BRANCH,1
PK_T_BARANGAY_1,T_BARANGAY,PK_T_BARANGAY_1,CODE,0
PK_T_BARANGAY_1,T_BARANGAY,PK_T_BARANGAY_1,MUNICIPAL_ID,1
PK_T_BARANGAY_1,T_BARANGAY,PK_T_BARANGAY_1,PROVINCE_CT,2
PK_T_BLDGCLASS,T_BLDGCLASS,PK_T_BLDGCLASS,CODE,0
PK_T_BLDGCLASS,T_BLDGCLASS,PK_T_BLDGCLASS,YEARSTART,1
PK_T_BLDGCOMPONENT_1,T_BLDGCOMPONENT,PK_T_BLDGCOMPONENT_1,CODE,0
PK_T_BLDGEXTRAITEM_1,T_BLDGEXTRAITEM,PK_T_BLDGEXTRAITEM_1,CODE,0
PK_T_BLDGKIND_1,T_BLDGKIND,PK_T_BLDGKIND_1,CODE,0
PK_T_BLDGMATERIAL_1,T_BLDGMATERIAL,PK_T_BLDGMATERIAL_1,CODE,0
PK_T_BLDGMATERIALCHECKLIST_1,T_BLDGMATERIALCHECKLIST,PK_T_BLDGMATERIALCHECKLIST_1,CODE,0
PK_T_BLDGSTRUCTURETYPE_1,T_BLDGSTRUCTURETYPE,PK_T_BLDGSTRUCTURETYPE_1,CODE,0
PK_T_BLDGSTRUCTURETYPE_1,T_BLDGSTRUCTURETYPE,PK_T_BLDGSTRUCTURETYPE_1,YEARSTART,1
PK_T_BLDG_GRCODE,T_BLDG_GRCODE,PK_T_BLDG_GRCODE,BLDGGRC_ID,0
PK_T_BLDG_GRCODE_TYPE,T_BLDG_GRCODE_TYPE,PK_T_BLDG_GRCODE_TYPE,BGRTYPE_ID,0
PK_T_BPADDONCHARGES_1,T_BPADDONCHARGES,PK_T_BPADDONCHARGES_1,CODE,0
PK_T_BPCATEGORY_1,T_BPCATEGORY,PK_T_BPCATEGORY_1,CODE,0
PK_T_BPCATEGORYGROUP_1,T_BPCATEGORYGROUP,PK_T_BPCATEGORYGROUP_1,CODE,0
PK_T_BPCLEARANCE_1,T_BPCLEARANCE,PK_T_BPCLEARANCE_1,CODE,0
PK_T_BPRATES_1,T_BPRATES,PK_T_BPRATES_1,CODE,0
INTEG_367,T_BPSTATUS,RDB$PRIMARY3,CODE,0
PK_T_BUILDINGNAMES_1,T_BUILDINGNAMES,PK_T_BUILDINGNAMES_1,CODE,0
PK_T_CASETYPE_1,T_CASETYPE,PK_T_CASETYPE_1,CODE,0
PK_T_CLASSIFICATION_1,T_CLASSIFICATION,PK_T_CLASSIFICATION_1,CODE,0
PK_T_CLASSLEVEL_1,T_CLASSLEVEL,PK_T_CLASSLEVEL_1,CODE,0
PK_T_COMMENTTEMPLATE_1,T_COMMENTTEMPLATE,PK_T_COMMENTTEMPLATE_1,ID,0
PK_T_COUNTRY_1,T_COUNTRY,PK_T_COUNTRY_1,CODE,0
PK_T_CTCRATE_1,T_CTCRATE,PK_T_CTCRATE_1,CODE,0
PK_T_DENOMINATION_1,T_DENOMINATION,PK_T_DENOMINATION_1,DENOMINATION,0
PK_T_DISCOUNT_1,T_DISCOUNT,PK_T_DISCOUNT_1,DISCOUNT_ID,0
PK_T_EARMARK_1,T_EARMARK,PK_T_EARMARK_1,CODE,0
PK_T_EECLEARANCE_1,T_EECLEARANCE,PK_T_EECLEARANCE_1,CODE,0
PK_T_EELIVESTOCK_1,T_EELIVESTOCK,PK_T_EELIVESTOCK_1,CODE,0
PK_T_EELOCATION_1,T_EELOCATION,PK_T_EELOCATION_1,CODE,0
PK_T_EERATE_1,T_EERATE,PK_T_EERATE_1,EERATE_ID,0
PK_T_EESECTION_1,T_EESECTION,PK_T_EESECTION_1,CODE,0
PK_T_EETYPEOFFEE_1,T_EETYPEOFFEE,PK_T_EETYPEOFFEE_1,CODE,0
PK_T_ENFORCEMENTSTATUS_1,T_ENFORCEMENTSTATUS,PK_T_ENFORCEMENTSTATUS_1,CODE,0
PK_T_ENFORCEMENTTYPE_1,T_ENFORCEMENTTYPE,PK_T_ENFORCEMENTTYPE_1,CODE,0
PK_T_ESRECLASSIFICATION,T_ESRECLASSIFICATION,PK_T_ESRECLASSIFICATION,CODE,0
PK_T_ESRECLASSIFICATION,T_ESRECLASSIFICATION,PK_T_ESRECLASSIFICATION,LIFT,1
PK_T_EVENTOBJECT_1,T_EVENTOBJECT,PK_T_EVENTOBJECT_1,CODE,0
PK_T_EXCHANGERATE_1,T_EXCHANGERATE,PK_T_EXCHANGERATE_1,AVGRATE,0
PK_T_EXCHANGERATE_1,T_EXCHANGERATE,PK_T_EXCHANGERATE_1,ERYEAR,1
PK_T_FAMILY,T_FAMILY,PK_T_FAMILY,CODE,0
PK_T_FUNDTYPE,T_FUNDTYPE,PK_T_FUNDTYPE,CODE,0
PK_T_ITAXTYPE_1,T_ITAXTYPE,PK_T_ITAXTYPE_1,CODE,0
PK_T_ITAXTYPEGROUP_1,T_ITAXTYPEGROUP,PK_T_ITAXTYPEGROUP_1,CODE,0
PK_T_ITAXTYPESUBGROUP_1,T_ITAXTYPESUBGROUP,PK_T_ITAXTYPESUBGROUP_1,CODE,0
PK_T_ITAXTYPE_DETAIL,T_ITAXTYPE_DETAIL,PK_T_ITAXTYPE_DETAIL,CODE,0
PK_T_ITAXTYPE_1_TEMP,T_ITAXTYPE_TEMP,PK_T_ITAXTYPE_1_TEMP,CODE,0
PK_T_MACHINECONDITION_1,T_MACHINECONDITION,PK_T_MACHINECONDITION_1,CODE,0
PK_T_MACHINEGROUP_1,T_MACHINEGROUP,PK_T_MACHINEGROUP_1,CODE,0
PK_T_MACHINETYPE_1,T_MACHINETYPE,PK_T_MACHINETYPE_1,CODE,0
PK_T_MAPTYPE_1,T_MAPTYPE,PK_T_MAPTYPE_1,CODE,0
PK_MCHCITATION_ID,T_MCHCITATION,PK_MCHCITATION_ID,MCHCITATION_ID,0
PK_T_MCHFRANCHISESCHEDULE_1,T_MCHFRANCHISESCHEDULE,PK_T_MCHFRANCHISESCHEDULE_1,CODE,0
PK_T_MCHRATE_1,T_MCHRATE,PK_T_MCHRATE_1,MCHRATE_ID,0
PK_T_MCHREQUIREMENT_1,T_MCHREQUIREMENT,PK_T_MCHREQUIREMENT_1,TMCHREQ_ID,0
PK_T_MCHTYPE_1,T_MCHTYPE,PK_T_MCHTYPE_1,CODE,0
PK_CODE,T_MEMORANDA,PK_CODE,CODE,0
PK_T_METERREADER_1,T_METERREADER,PK_T_METERREADER_1,CODE,0
PK_T_MUNICIPALITY_1,T_MUNICIPALITY,PK_T_MUNICIPALITY_1,MUNICIPAL_ID,0
PK_T_ORTYPE_1,T_ORTYPE,PK_T_ORTYPE_1,CODE,0
PK_T_OTHERPAYMENTRATE_1,T_OTHERPAYMENTRATE,PK_T_OTHERPAYMENTRATE_1,OPRATE_ID,0
PK_T_OWNERTYPE_1,T_OWNERTYPE,PK_T_OWNERTYPE_1,CODE,0
PK_T_PAYMODE_1,T_PAYMODE,PK_T_PAYMODE_1,CODE,0
PK_T_PAYPERIOD_1,T_PAYPERIOD,PK_T_PAYPERIOD_1,CODE,0
PK_T_PLANTTREE_1,T_PLANTTREE,PK_T_PLANTTREE_1,CODE,0
PK_T_PROPERTYKIND_1,T_PROPERTYKIND,PK_T_PROPERTYKIND_1,CODE,0
PK_T_PROVINCE_1,T_PROVINCE,PK_T_PROVINCE_1,CODE,0
PK_REGION,T_REGION,PK_REGION,CODE,0
PK_T_REGIONALPARAMS,T_REGIONALPARAMS,PK_T_REGIONALPARAMS,REGPARM_ID,0
PK_T_REGIONALPARAMSETTING,T_REGIONALPARAMSETTING,PK_T_REGIONALPARAMSETTING,REGPARMSET_ID,0
PK_T_REPORT_1,T_REPORT,PK_T_REPORT_1,TREP_ID,0
PK_T_REPORTGROUP_1,T_REPORTGROUP,PK_T_REPORTGROUP_1,CODE,0
PK_T_REQUIREMENT_1,T_REQUIREMENT,PK_T_REQUIREMENT_1,CODE,0
PK_T_RPTGRINFO_1,T_RPTGRINFO,PK_T_RPTGRINFO_1,YEARSTART,0
PK_T_RPTRESTRICTION_1,T_RPTRESTRICTION,PK_T_RPTRESTRICTION_1,CODE,0
PK_T_RPTTRANSACTION_1,T_RPTTRANSACTION,PK_T_RPTTRANSACTION_1,CODE,0
PK_T_SFMVBLDGCOST_1,T_SFMVBLDGCOST,PK_T_SFMVBLDGCOST_1,SFMVBLDGCOST_ID,0
PK_T_SFMVBLDGDEPRECIATION_1,T_SFMVBLDGDEPRECIATION,PK_T_SFMVBLDGDEPRECIATION_1,SFMVBLDGDEP_ID,0
PK_T_SFMVBLDGEXTRAITEM_1,T_SFMVBLDGEXTRAITEM,PK_T_SFMVBLDGEXTRAITEM_1,SFMVBLDGEXTRA_ID,0
PK_T_SFMVLAND_1,T_SFMVLAND,PK_T_SFMVLAND_1,SFMVLAND_ID,0
PK_T_SFMVLANDADJUSTMENT_1,T_SFMVLANDADJUSTMENT,PK_T_SFMVLANDADJUSTMENT_1,SFMVLANDADJUSTMENT_ID,0
PK_T_SFMVPLANTTREE_1,T_SFMVPLANTTREE,PK_T_SFMVPLANTTREE_1,SFMVPLANT_ID,0
PK_T_SHARES_1,T_SHARES,PK_T_SHARES_1,SHARES_ID,0
PK_T_STATUS_1,T_STATUS,PK_T_STATUS_1,CODE,0
PK_T_SUBCLASSIFICATION_1,T_SUBCLASSIFICATION,PK_T_SUBCLASSIFICATION_1,CODE,0
PK_T_TAXPAYERDETAIL_1,T_TAXPAYERDETAIL,PK_T_TAXPAYERDETAIL_1,CODE,0
PK_T_TAXPAYERDETAILGROUP_1,T_TAXPAYERDETAILGROUP,PK_T_TAXPAYERDETAILGROUP_1,CODE,0
PK_T_TAXPERIOD_1,T_TAXPERIOD,PK_T_TAXPERIOD_1,CODE,0
PK_T_TRANSAPPROVAL_1,T_TRANSAPPROVAL,PK_T_TRANSAPPROVAL_1,ID,0
PK_T_UNIT_1,T_UNIT,PK_T_UNIT_1,CODE,0
PK_T_USERDESIGNATION_1,T_USERDESIGNATION,PK_T_USERDESIGNATION_1,CODE,0
PK_T_VIOLATION_1,T_VIOLATION,PK_T_VIOLATION_1,CODE,0
PK_T_WATERITEM_1,T_WATERITEM,PK_T_WATERITEM_1,CODE,0
PK_T_WATERITEMGROUP_1,T_WATERITEMGROUP,PK_T_WATERITEMGROUP_1,TWIG_ID,0
PK_T_WATERORDINANCE_1,T_WATERORDINANCE,PK_T_WATERORDINANCE_1,TWO_ID,0
PK_T_WATERREPORTS_1,T_WATERREPORTS,PK_T_WATERREPORTS_1,CODE,0
PK_T_WCLASSCODE_0,T_WCLASSCODE,PK_T_WCLASSCODE_0,CODE,0
PK_T_WCONNECTIONRATE_1,T_WCONNECTIONRATE,PK_T_WCONNECTIONRATE_1,WCR_ID,0
PK_T_WCONNECTIONTYPE_1,T_WCONNECTIONTYPE,PK_T_WCONNECTIONTYPE_1,CODE,0
PK_T_WCSTATUS_1,T_WCSTATUS,PK_T_WCSTATUS_1,STATUS_ID,0
PK_T_WNODE_1,T_WNODE,PK_T_WNODE_1,CODE,0
PK_T_WOWI,T_WOWI,PK_T_WOWI,CODE,0
PK_T_WOWI,T_WOWI,PK_T_WOWI,TWO_ID,1
PK_T_WSECTOR_1,T_WSECTOR,PK_T_WSECTOR_1,CODE,0
PK_T_WSTUBOUT_1,T_WSTUBOUT,PK_T_WSTUBOUT_1,CODE,0
PK_T_WZONE_1,T_WZONE,PK_T_WZONE_1,CODE,0
PK_WATERBILL_1,WATERBILL,PK_WATERBILL_1,WB_ID,0
PK_WATERBILLDETAIL_1,WATERBILLDETAIL,PK_WATERBILLDETAIL_1,WBD_ID,0
PK_WATERCONTRACT_1,WATERCONTRACT,PK_WATERCONTRACT_1,WC_ID,0
PK_WATERINIT_CONSUMPTION_1,WATERINIT_CONSUMPTION,PK_WATERINIT_CONSUMPTION_1,WIC_ID,0
PK_WATERINIT_OUTSTANDING_1,WATERINIT_OUTSTANDING,PK_WATERINIT_OUTSTANDING_1,ID,0
PK_WATERMETER_1,WATERMETER,PK_WATERMETER_1,WM_ID,0
PK_WMREADER_BARANGAY_1,WMREADER_BARANGAY,PK_WMREADER_BARANGAY_1,WMRB_ID,0
PK_WM_READING_1,WM_READING,PK_WM_READING_1,WMR_ID,0
PK_WM_READINGLIST_1,WM_READINGLIST,PK_WM_READINGLIST_1,WMRRL_ID,0
PK_WM_WC_1,WM_WC,PK_WM_WC_1,WMWC_ID,0
